p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene
1.0843691378173791e-7	1.7730118097010197	0.909	0.222	0.002094675863521831	Zfp503
1.092917699846224e-7	1.125292814283714	0.455	0.043	0.002111189120792951	Cav2
1.098419601326565e-7	1.976491921545729	1	0.42	0.0021218171438825255	G6pdx
1.1095806869988042e-7	1.3244857136131027	1	0.995	0.0021433770130755902	Pa2g4
1.1308516344724597e-7	0.6993359656385656	0.545	0.063	0.0021844661023104504	Ccdc80
1.1384394779477614e-7	2.187763557582401	1	0.623	0.0021991235395516905	Cebpb
1.1397881449049701e-7	1.127329798557947	1	0.986	0.002201728759512931	Rsl1d1
1.1703188013175984e-7	1.1531082413815474	1	0.966	0.0022607048285052046	Eif4g1
1.1708694573685139e-7	-2.665539642123698	0.909	1	0.002261768530798758	Tanc2
1.1708694573685139e-7	0.921527215793668	1	1	0.002261768530798758	Ybx3
1.201520137961919e-7	-3.6676974974789696	0.545	0.981	0.002320976450501039	Tmem117
1.202628925686708e-7	1.3177879700639767	1	0.981	0.0023231182957490137	Psmd7
1.225701794847506e-7	1.7840201374185274	1	0.643	0.0023676881571069275	Isyna1
1.2336735393167134e-7	-4.85978068984256	0	0.947	0.0023830871758980954	St18
1.2336735393167134e-7	-5.1078027946281335	0	0.947	0.0023830871758980954	Tcerg1l
1.2345598650183607e-7	-3.258751175762363	0.455	0.99	0.002384799291255967	Gabrb3
1.2352213891144642e-7	1.943469976866594	1	0.976	0.0023860771573524105	Prdx6
1.2353868179688935e-7	1.5286773376000624	1	0.986	0.0023863967162705115	Tomm5
1.249096422500834e-7	-4.108593862314001	0.545	0.966	0.002412879559344861	Cacna1a
1.2800624707188664e-7	1.6561529108627524	1	0.246	0.0024726966746876342	Zfp36l2
1.2819655842943022e-7	1.2060111235487914	0.636	0.092	0.0024763729191813037	Gm7160
1.286303274938343e-7	1.6440160237160677	0.636	0.097	0.002484752036198397	Tgfb2
1.3383769661227898e-7	-3.379254528850664	0.818	0.981	0.002585342785459393	Slc8a1
1.3387669832243716e-7	-1.248688315802875	1	1	0.0025860961814945186	H3f3a
1.3808552623170974e-7	1.5215012006213897	0.909	0.203	0.002667398110217937	Mboat1
1.3934085298848445e-7	-3.418333099950633	0.727	0.995	0.002691647257178554	Tox
1.409734900242778e-7	1.2892391476798655	0.636	0.092	0.002723184906798974	Fbxo6
1.4109110902652015e-7	1.7719053073539972	1	0.836	0.0027254569530652897	Nolc1
1.4320402267180713e-7	-3.9987841416483265	0.091	0.947	0.0027662721059512983	Scg3
1.4320521044383048e-7	-4.561214512654788	0.091	0.947	0.0027662950501434734	Chga
1.4382397279224718e-7	1.7796689112591277	1	0.531	0.002778247682427839	Pdcd11
1.4422984517611277e-7	1.4820993639128919	1	0.923	0.0027860879192669703	Ppid
1.446079238391194e-7	1.4331774074978747	1	0.937	0.002793391264800269	Ppa1
1.4707786254616996e-7	-4.766742644886096	0.091	0.947	0.002841103070804365	Ntn4
1.5093790829873966e-7	1.7675333818411008	1	0.353	0.002915667574606754	Nat10
1.5292325509533602e-7	1.799757734403218	1	0.256	0.0029540185186766057	Abcb1b
1.5298471796157382e-7	-1.6207748782234264	1	1	0.0029552057968637215	Tle5
1.5605820332779138e-7	-5.398716070635244	0.273	0.957	0.003014576313682946	Ctnna2
1.594603889986398e-7	0.9408510491189657	0.455	0.043	0.003080296334286725	Tle6
1.6006383378264515e-7	-4.15860146642422	0.273	0.952	0.0030919530771793564	Prox1
1.6134323050745236e-7	-1.8599294153346668	1	0.99	0.003116667183712457	Atp6v1g1
1.6524750775174535e-7	1.6308345622679472	1	0.792	0.003192086107240465	Hsph1
1.6533304917281418e-7	1.5982146850206551	1	0.531	0.0031937385108712518	Szrd1
1.676927873063494e-7	-4.330236222456489	0.091	0.942	0.0032393215723967514	Srrm3
1.6997818502738568e-7	1.296158970134507	1	0.957	0.0032834686001740093	Nhp2
1.701453351823215e-7	0.9091734070274979	1	1	0.0032866974397169043	Serbp1
1.7471802418597217e-7	-2.0443369137490297	1	0.995	0.0033750280732004244	Uchl1
1.7637093150137879e-7	1.4231316187491752	0.545	0.072	0.003406957283812134	Ermp1
1.804231529661443e-7	2.292167998112956	0.909	0.28	0.0034852340458470096	Rab34
1.8199907306600564e-7	1.350997468377436	0.818	0.159	0.003515676094416031	Tnks1bp1
1.8229901552118963e-7	1.1111160099543906	0.545	0.068	0.00352147008282282	Gm17494
1.836180379648406e-7	1.988256467047644	1	0.444	0.0035469496393668257	Magi1
1.8416997097080702e-7	1.2480507610465532	1	0.971	0.0035576113292430794	Ebna1bp2
1.9016443588479767e-7	-5.3387334626101115	0	0.932	0.003673406407986637	Pclo
1.9617556101284e-7	-6.0155341098543325	0.091	0.937	0.0037895233120850305	Krt7
1.9942244391316585e-7	1.0360109678748595	1	1	0.003852243349070625	Txn1
2.0892779917623538e-7	1.7166573025336946	1	0.652	0.0040358582966873386	Map2k3
2.097369458349069e-7	-4.098837319417754	0.636	0.961	0.004051488582692897	Ccser1
2.1353877379166117e-7	1.1541203318697102	0.545	0.068	0.004124928493333519	Ndrg2
2.1429797745107233e-7	1.76392994537094	0.636	0.097	0.004139594030422364	Gm26532
2.1438382036682914e-7	1.7914045559464504	1	0.343	0.004141252258026039	Zeb2
2.1768586735474764e-7	0.6983840508499806	0.455	0.043	0.004205037899691661	Zfp286
2.1901024477617926e-7	1.6906640846283403	1	0.676	0.004230620898341455	Ftsj3
2.2661598474128035e-7	1.4184436701103498	0.455	0.048	0.004377540977247313	B4galnt2
2.2849727446741446e-7	1.7801075690029968	1	0.643	0.004413881850887045	Las1l
2.2927111000419145e-7	-5.557969541330413	0.091	0.932	0.004428830031950966	Nebl
2.3343632436361048e-7	-2.4304640067576457	0.818	0.976	0.004509289477731863	Khdrbs3
2.372118087197144e-7	-4.374750373697172	0.273	0.942	0.004582220509038723	Rab3c
2.386225266307925e-7	1.5856241030969604	1	0.831	0.004609471346927019	Ddx39
2.395204345796325e-7	1.27976456076333	1	0.957	0.004626816234774761	Eif2s1
2.4163554201449836e-7	-4.508132023967128	0.091	0.932	0.004667673765094065	Enox1
2.4331479684850166e-7	0.933640715511423	0.364	0.029	0.004700111930722507	Lrrc75aos2
2.4331479684850166e-7	1.2189362002641204	0.364	0.029	0.004700111930722507	Pvr
2.4611913115653784e-7	-1.7931559542487039	1	0.995	0.004754283256550841	Ppp3ca
2.466043859241673e-7	1.589092394818172	0.818	0.174	0.00476365692289714	Etv4
2.5152586384102654e-7	-3.563401950349023	0.455	0.957	0.00485872511181711	Snx30
2.526470859305689e-7	1.1456663623483836	1	0.99	0.0048803837589208	Hspa9
2.526470859305689e-7	0.8917525152070724	1	0.99	0.0048803837589208	Cct6a
2.5266563724746613e-7	1.3281351167324704	1	0.87	0.004880742114709303	Ddx3x
2.5266765440785686e-7	-4.523841597448567	0	0.923	0.004880781080196571	Jakmip2
2.55389599376115e-7	1.1072111163487828	0.455	0.048	0.004933360891148414	Plpp3
2.5927821528007665e-7	1.1646210798541738	1	0.971	0.00500847728456524	Phb2
2.600822039455604e-7	1.4256708731983871	0.727	0.13	0.0050240079336163895	Polrmt
2.600822039455604e-7	1.2158548080665035	0.727	0.13	0.0050240079336163895	Wdr60
2.615402290197959e-7	1.0849672991440698	0.364	0.029	0.005052172603975397	Cd14
2.731462556919545e-7	-2.683035360423643	0.818	0.976	0.005276366221201485	Syt7
2.760339574270233e-7	-4.5534277017700635	0.182	0.932	0.0053321479556178095	Stxbp5l
2.760339574270233e-7	-4.724348758419646	0.182	0.932	0.0053321479556178095	Aldh1a7
2.760339574270233e-7	-3.9969261257654343	0.182	0.932	0.0053321479556178095	Scg5
2.770948890742979e-7	-3.489398742162356	0.273	0.937	0.005352641972248213	Insm1
2.7807093255581375e-7	1.8201306634176317	1	0.691	0.005371496204180654	Nfia
2.810809543541548e-7	1.0358300549679866	0.364	0.029	0.005429640795259208	Cp
2.810809543541548e-7	0.833106192127476	0.364	0.029	0.005429640795259208	Fhod1
2.877772890893144e-7	1.2529887770433397	1	0.966	0.005558993893338286	Tomm40
2.9306074715239887e-7	1.6007278859886263	1	0.391	0.005661054452742889	Ehd1
3.0202805844698734e-7	0.8588370517311601	0.364	0.029	0.005834276005020455	Lypd6
3.057553314059002e-7	1.592901362673758	0.636	0.106	0.005906275736767774	Yap1
3.180838372161805e-7	1.681528350852068	1	0.928	0.0061444254835049585	Txnrd1
3.1948079922913103e-7	1.2059620040790913	1	0.99	0.006171410598709124	Prrc2c
3.27885919845545e-7	0.8219261186107172	1	1	0.006333772313656393	Nme2
3.27885919845545e-7	-2.387446814715092	1	1	0.006333772313656393	Robo1
3.3042167545343183e-7	2.066524348450617	0.636	0.101	0.0063827555047339425	Fosl1
3.318760894362939e-7	-3.7334068361884487	0.273	0.932	0.006410850419640889	Ina
3.364911796898893e-7	1.1400376487167803	1	0.986	0.006500000118069591	Cacybp
3.436090968020595e-7	1.0543574656640087	0.455	0.048	0.006637496922925383	Chst2
3.543935821788487e-7	0.8989939242286766	1	1	0.00684582082694882	Eif3a
3.557631611357941e-7	2.328235932816766	0.545	0.077	0.006872276983660134	Serpine1
3.600708992273351e-7	0.9676312441544028	0.273	0.014	0.006955489560374432	Gm49708
3.6368046123957026e-7	-0.9325009322043405	1	1	0.007025215469764779	Eef1a1
3.673843071805754e-7	-3.6611383232214894	0.182	0.932	0.007096762661807175	Tenm4
3.731730859209048e-7	1.1820944262621071	1	0.981	0.007208584500734118	Gspt1
3.7329334901571485e-7	1.8354534487634262	1	0.599	0.007210907622936563	Me1
3.829639149399489e-7	0.9145367934642996	1	0.995	0.007397713944894993	Pkm
3.8446737938215376e-7	-4.850090089641223	0	0.908	0.007426756367525064	Nipal2
3.844703602795422e-7	-5.83767563960294	0	0.908	0.007426813949519917	Col8a1
3.844703602795422e-7	-4.192397060555859	0	0.908	0.007426813949519917	Srrm4
3.851505941812515e-7	-3.7687019169566334	0.182	0.923	0.0074399540277992355	Gnao1
3.8658168382197393e-7	0.8735907116699151	0.455	0.048	0.007467598386389071	Tns2
3.944217026350117e-7	1.1302482388574706	0.273	0.014	0.007619044029800521	Cav1
3.966752181945512e-7	-3.081994507658748	0.545	0.957	0.007662575189864145	1700042O10Rik
4.0322915041958934e-7	-2.2608317550215475	1	0.99	0.007789177498655207	Ucp2
4.0438430215879974e-7	1.79383085538909	0.455	0.053	0.007811491564801535	Ephx1
4.136839253124971e-7	-2.141094853922157	1	0.976	0.007991132385261506	H2afv
4.137507546250098e-7	-1.6526084112371775	1	1	0.007992423327091314	Rere
4.166085587133641e-7	1.9117744695133643	1	0.329	0.008047627528666054	Nrxn2
4.192967196493036e-7	1.2797122365016282	1	0.85	0.008099554733465597	Atic
4.198033191296999e-7	0.9097251894860507	0.545	0.072	0.008109340715628414	Cd302
4.2697881880539834e-7	-4.387927278950431	0.182	0.923	0.00824794984286388	Hdac9
4.3149057081130823e-7	0.6402080098345353	0.364	0.029	0.00833510335636204	Gm4737
4.319242809463405e-7	0.749387499988758	0.273	0.014	0.008343481335040459	Spry4
4.319242809463405e-7	0.7397915440500635	0.273	0.014	0.008343481335040459	Kcng1
4.319242809463405e-7	0.5185316330111664	0.273	0.014	0.008343481335040459	Bnipl
4.324732879139021e-7	1.4856009676716908	0.636	0.111	0.008354086502632847	Acot9
4.414448793675575e-7	-4.865599775452729	0	0.903	0.008527390734743108	Nalcn
4.5265602857392874e-7	-2.9417756425097914	0.727	0.995	0.008743956503962582	Hcn1
4.631536853142623e-7	0.5481421586670265	0.364	0.029	0.008946739739215604	Cspg4
4.637084923723169e-7	1.1228960398856755	0.636	0.097	0.008957456947156045	Tgif2
4.64615441354141e-7	1.8452544596261387	1	0.478	0.008974976480637942	Slc19a1
4.704405204954607e-7	0.8437835097022908	1	1	0.009087499534410815	Eif5a
4.704405204954607e-7	-1.8752297694517426	1	0.995	0.009087499534410815	Myl12b
4.814429434378196e-7	1.6496931673859834	0.909	0.266	0.00930003333838836	Vcpkmt
4.839112432935969e-7	1.8874222458204577	0.909	0.261	0.009347713486702412	Epop
4.893939378866845e-7	-3.99458166937483	0.273	0.937	0.009453622698157084	Cdh20
5.112565820836441e-7	1.4220012258350532	0.909	0.217	0.009875943396109753	Dclk1
5.128338104102771e-7	1.9865482563501717	0.909	0.29	0.009906410715695322	Lpp
5.211093238737112e-7	1.030612772020267	1	0.99	0.01006626880926848	Cct3
5.254855095093577e-7	3.435590936539439	1	0.72	0.010150803587192262	Esd
5.345862765491194e-7	-2.053900743517305	0.909	1	0.010326603104099339	Runx1t1
5.377371431711176e-7	1.410236441124518	1	0.879	0.010387468394636478	Baz1a
5.394231858629379e-7	1.5389761939059077	0.909	0.222	0.010420037681314371	St6galnac6
5.414394865460273e-7	1.8204071825764552	1	0.527	0.01045898656160961	Sigmar1
5.442024409842525e-7	1.8045021975674294	1	0.826	0.010512358552492804	Gsr
5.662295287016586e-7	0.7239197875023913	0.273	0.014	0.01093785580592994	6430562O15Rik
5.662295287016586e-7	0.5383118186010591	0.273	0.014	0.01093785580592994	Wnt5a
5.662295287016586e-7	0.5311421018543467	0.273	0.014	0.01093785580592994	Fcgrt
5.662295287016586e-7	0.6216107012314374	0.273	0.014	0.01093785580592994	Usp27x
5.666378115336256e-7	1.035840216345036	0.545	0.072	0.010945742605395046	Smarcd3
5.748551917160815e-7	1.267324292070173	0.818	0.179	0.011104477738379546	Fut10
5.766741612047343e-7	-2.783771722852146	1	0.961	0.011139614771991853	Carmil1
5.770378776221883e-7	-1.6983697577253067	1	0.995	0.01114664068202781	Agap1
5.770378776221883e-7	0.8822008914996196	1	1	0.01114664068202781	Snrpb
5.95829149722671e-7	1.336615501459297	0.909	0.222	0.011509631685192836	Sat1
5.984178025881211e-7	1.7538553602670803	0.909	0.309	0.011559636692594735	Sdc1
6.12792894610634e-7	-3.1852022370821187	0.545	0.957	0.011837320345193617	Bex1
6.226371518092827e-7	-2.3291757919878187	0.909	0.981	0.012027481861499913	Cacna2d3
6.226789753630876e-7	-1.9170110038729486	1	0.981	0.012028289767088763	Tpd52
6.430162382526951e-7	2.1741671327426486	1	0.343	0.012421144674327311	Blvrb
6.468599705428984e-7	-2.321664641465678	0.909	0.995	0.012495394050977169	Homer2
6.530339362101819e-7	0.7262878603497058	0.455	0.048	0.012614656545772084	Slc9a5
6.551081557875054e-7	1.0183626134416779	1	0.995	0.012654724245347242	Dnaja2
6.685115108873621e-7	1.295515633952893	1	0.923	0.012913636855811173	Dnajc2
6.722263263394333e-7	1.140781655647327	0.545	0.077	0.012985395945898833	Cpne2
6.878571633795076e-7	1.3155066440078922	1	0.865	0.013287336825001947	Pbdc1
7.055284731843332e-7	1.3258290980908254	0.545	0.077	0.013628693516501766	Gm26827
7.395940608869329e-7	1.2650996411330575	1	0.923	0.014286738474152882	Snrpa1
7.409854062024567e-7	1.813492272433552	1	0.647	0.014313615091612856	Tmed5
7.433083842087957e-7	-1.7213811241298795	1	1	0.014358488057761307	Celf2
7.446671373129922e-7	1.7715204370280069	1	0.57	0.01438473509147507	Rcc1
7.536247373169478e-7	1.5666514145550992	1	0.686	0.014557769050751481	Tmem97
7.70166953722732e-7	1.3704530186131394	1	0.889	0.014877315045062013	Myl12a
7.793660784427799e-7	1.6154078306214532	0.364	0.034	0.01505501453727918	Cdk6
7.962517299065048e-7	1.3557526590369755	1	0.826	0.015381194666603953	Ddx18
7.968295450800674e-7	1.4594166798025574	1	0.918	0.015392356322311663	Srm
8.016009436019661e-7	0.9893225584687104	1	0.99	0.01548452542755918	Hsp90aa1
8.034417787757715e-7	0.8140041481506324	0.818	0.15	0.015520084840611577	Rad9a
8.172263470479349e-7	1.399025721493695	0.636	0.111	0.015786361345924958	Mafk
8.200778164796448e-7	1.443969726800443	1	0.314	0.015841443180937297	Adgra3
8.219943090895903e-7	1.0770864284440549	1	0.99	0.015878464068683616	Hspa4
8.265124026410518e-7	-3.643795611893568	0.182	0.957	0.015965740081817198	Syt1
8.305269357344549e-7	-4.192148736495849	0.364	0.923	0.016043288817582466	Spint2
8.387212039678237e-7	1.1015508162412935	1	0.923	0.01620157749704645	Denr
8.428930409485419e-7	-1.0445903319653542	1	1	0.016282164872002982	Atp5e
8.653393052719286e-7	-4.704577444208827	0.273	0.908	0.016715759359937844	Id4
8.695254862155541e-7	-4.104538041608037	0	0.879	0.01679662381722586	Dner
8.695318418795391e-7	-4.507755759412525	0	0.879	0.016796746589587058	Rgs7
8.695381975827125e-7	-4.00995399487101	0	0.879	0.016796869362705257	Unc80
8.695381975827125e-7	-3.8236012384123748	0	0.879	0.016796869362705257	Syt4
8.70660446580893e-7	1.415146380089695	1	0.763	0.01681854784660311	Umps
8.858627105789429e-7	1.293213008552351	1	0.966	0.01711220998025344	Bzw1
8.861974828947702e-7	0.940242470491151	1	0.986	0.017118676777078276	Ptges3
8.86223239030048e-7	-0.8340243842626642	1	1	0.017119174308343435	Atpif1
8.93415519584216e-7	1.6383438145049702	0.909	0.28	0.0172581075918083	Chsy1
8.952925871108285e-7	1.9276220980097096	0.818	0.217	0.017294366905219873	Epb41l1
9.078271455264585e-7	0.5687156543146945	0.182	0.005	0.0175364969701346	Twist2
9.078271455264585e-7	0.40837664951785246	0.182	0.005	0.0175364969701346	Adamts14
9.078271455264585e-7	0.5826139438782096	0.182	0.005	0.0175364969701346	Cd300lf
9.078271455264585e-7	0.5097568849394523	0.182	0.005	0.0175364969701346	Cd74
9.078271455264585e-7	0.873214505583034	0.182	0.005	0.0175364969701346	Tnfrsf23
9.0814784727054e-7	1.4845797021801506	1	0.705	0.01754269196572502	Mthfd1
9.086849130941931e-7	0.8280173732240188	1	1	0.017553066466240528	Mtdh
9.198870321430257e-7	-2.8833859746968966	0.727	0.986	0.017769457799906827	9030622O22Rik
9.316672480542318e-7	0.915132426870318	1	0.986	0.017997016230663597	Timm13
9.46123094879325e-7	1.1760238666509382	1	0.903	0.01827625982378392	Ssbp1
9.496639052149424e-7	1.5704908130949948	1	0.541	0.018344657657037043	Slc16a1
9.578019822205178e-7	1.1438220831361474	0.818	0.164	0.01850186089055374	Rhog
9.736522628473545e-7	1.173709645994462	1	0.918	0.018808040761422347	Fam162a
9.761986460700444e-7	1.3690671119067293	1	0.932	0.018857229246135046	Dynll1
9.829822965897743e-7	0.7832708874241514	0.636	0.097	0.01898826902322467	Retsat
9.916686606549991e-7	0.7999168120005704	0.455	0.053	0.019156063517872617	Nfkb2
9.931787927515008e-7	-4.165789482104624	0	0.874	0.01918523473958074	Smpd3
1.0273647680567643e-6	0.6011017822158347	0.182	0.005	0.019845605224552518	Gm15956
1.0273647680567643e-6	0.47945267443506134	0.182	0.005	0.019845605224552518	Sema3b
1.0321944301331876e-6	0.5057890520332831	0.455	0.048	0.019938899806882786	Zbed5
1.0355611416787534e-6	1.098526195477284	0.545	0.077	0.02000393457380848	Col5a1
1.048158094439533e-6	1.6807888616923572	1	0.686	0.02024726991028846	Bms1
1.048179940457372e-6	1.583658303445291	1	0.473	0.020247691909815055	Ino80e
1.0498340462060517e-6	1.7938200648647173	0.636	0.111	0.0202796442705623	Cachd1
1.051975294188585e-6	1.308370742480315	1	0.932	0.020321006757840893	Tpm3
1.0756855476631198e-6	1.270925239690584	1	0.918	0.020779017724208485	Rexo2
1.0819865518962381e-6	-1.8801641853410687	1	1	0.020900734222979632	Stmn1
1.093766983258327e-6	1.1768723917118178	0.727	0.13	0.021128296815601102	Xylb
1.103524279430876e-6	1.4006386500624524	0.909	0.237	0.02131677850576623	Nectin3
1.1211508001875547e-6	1.4368457209811267	1	0.266	0.021657270007222992	Atp6v0a2
1.1334432304324903e-6	-5.232163208718559	0	0.87	0.021894722882264416	Cldn3
1.1619788652968268e-6	0.31117735283472925	0.182	0.005	0.022445945740938802	Gm28818
1.1619788652968268e-6	0.3960659480271116	0.182	0.005	0.022445945740938802	Icos
1.1619788652968268e-6	0.48753394883124157	0.182	0.005	0.022445945740938802	Arhgap30
1.1619788652968268e-6	0.40296826252395546	0.182	0.005	0.022445945740938802	Tmem98
1.1619788652968268e-6	0.5419769816041398	0.182	0.005	0.022445945740938802	Gm47904
1.1619788652968268e-6	0.3944938660948387	0.182	0.005	0.022445945740938802	Ear2
1.1619788652968268e-6	0.4775398435279814	0.182	0.005	0.022445945740938802	Togaram2
1.1619788652968268e-6	0.4858606406605177	0.182	0.005	0.022445945740938802	Ripor3
1.1619788652968268e-6	0.4726936533928976	0.182	0.005	0.022445945740938802	Wt1
1.1619788652968268e-6	0.318296377400193	0.182	0.005	0.022445945740938802	Mgarp
