p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene
6.940550098517851e-8	-1.037191201719889	0.345	0.76	0.0013407060625306932	Ap1m1
6.991927115312336e-8	1.0125561462174073	0.94	0.88	0.0013506305608648838	Cbfa2t2
7.009823894922824e-8	-1.3708300332580157	0.167	0.52	0.001354087681782242	Xylt1
7.099422547844652e-8	0.9796574701609386	0.976	0.78	0.0013713954535671516	Snx30
7.391735986923968e-8	0.7925538469347837	0.994	0.98	0.0014278616405941028	Homer2
7.452954220031652e-8	1.5420434265544043	0.72	0.48	0.001439687166683514	Tuft1
7.583414482271922e-8	-0.931729435931351	0.071	0.38	0.001464888175540467	C230035I16Rik
7.753163469427932e-8	-0.6019749470277542	0.935	1	0.0014976785873893938	Ube3a
7.764448930006198e-8	1.1896251079449252	0.845	0.68	0.0014998585998092972	Sgms1
7.924603013894097e-8	-0.698377522233404	0.893	1	0.0015307955641939226	Timm9
7.975934381439321e-8	0.9528774647523675	0.988	0.82	0.0015407112444626337	Plcb4
7.982809480824539e-8	-1.093447345154662	0.946	1	0.0015420393074108763	Sfta3-ps
8.209884314463577e-8	1.9618977256677361	0.554	0.16	0.0015859033530249292	Sox13
8.395840640256372e-8	0.7862763860979098	0.988	0.96	0.0016218245364783234	Gmds
8.782912773716679e-8	1.5719967922978837	0.702	0.28	0.0016965952604988507	Slc35f3
8.841627864765008e-8	-1.319281325288892	0.583	0.88	0.0017079372546366565	Gm1673
8.999589988563134e-8	0.9583832375643467	0.929	0.88	0.0017384507980907405	Fam174a
9.262764122480122e-8	-1.0451244947891758	0.417	0.78	0.0017892881455394852	Gga2
9.26454895373755e-8	-1.3239798546956112	0.244	0.62	0.0017896329213934825	Cplx1
9.378032246402548e-8	2.199127224665394	0.411	0	0.0018115544890375801	Cldn9
9.378032246402548e-8	2.1746309348059487	0.411	0	0.0018115544890375801	Col6a5
9.661547268357462e-8	-2.020155424635969	0.089	0.4	0.001866321085828611	Maml2
1.0098456420816444e-7	4.742260299319684	0.429	0.02	0.0019507188268091124	Wfdc2
1.0198064782296322e-7	-1.2087244985829373	0.524	0.84	0.0019699601739961805	Pkia
1.0323194454181287e-7	-0.9539535297101152	0.083	0.4	0.001994131472714199	Inf2
1.0346011394513256e-7	-0.8511833173556161	0.708	0.94	0.0019985390210781255	Adgrl2
1.0658531053698299e-7	-1.273290868379936	0.173	0.54	0.0020589084436429005	Ppargc1a
1.0889802601776165e-7	-1.2637527049052528	0.042	0.3	0.0021035831685851016	Vldlr
1.089408824380543e-7	-0.4361365517079312	1	1	0.002104411026055895	Srsf3
1.1016591149930208e-7	-0.8667285537685536	0.661	0.96	0.002128074912432018	Thada
1.1337153860409863e-7	-0.9607664662219848	0.101	0.44	0.002189998011215373	Gas2
1.149483915778164e-7	-0.9920826860372753	0.613	0.92	0.0022204580801086795	C530008M17Rik
1.1586480276323773e-7	1.0233370557267483	0.893	0.7	0.0022381603949774634	Jarid2
1.163165958992514e-7	-1.0757874552674516	0.5	0.88	0.0022468876829858393	Casp3
1.1631889113542428e-7	-0.8821382430435011	0.595	0.9	0.002246932020062991	Smarcd1
1.1655933263542052e-7	-1.022432586166451	0.065	0.36	0.0022515766285184182	Dusp18
1.1813194042619873e-7	-1.186557652937656	0.274	0.68	0.002281954693212881	Nt5dc3
1.1920070455261951e-7	2.2593900710552735	0.464	0.06	0.0023026000098429512	Slc18a1
1.222720850381995e-7	-1.129166468677577	0.75	0.92	0.0023619298666829	Rasal2
1.2489690310576935e-7	2.458315897733307	0.405	0	0.0024126334772941464	Gsdma
1.2489690310576935e-7	3.1711864457027743	0.405	0	0.0024126334772941464	Ly6g6c
1.2489690310576935e-7	2.0576277790122393	0.405	0	0.0024126334772941464	Bcl2l14
1.2704875739491583e-7	-0.6263256113735496	0.982	1	0.002454200846597589	Cacybp
1.2706224099349643e-7	-0.8849973296557074	0.518	0.9	0.0024544613092713705	Pdlim7
1.2888797574273082e-7	-0.8324872304567705	0.827	0.96	0.0024897290274223313	Usp1
1.2890419009318728e-7	1.6828423075715155	0.685	0.34	0.0024900422400300987	Psd3
1.315800922635718e-7	0.8897831403043152	0.929	0.9	0.0025417326422554165	Nr6a1
1.333925810075636e-7	0.775310970199292	0.982	0.98	0.002576744487323106	Ica1
1.3673071061401137e-7	-1.200442460644113	0.054	0.32	0.0026412271369308576	Tubb4a
1.3991092715099025e-7	-1.5335350092276339	0.03	0.26	0.002702659379775679	Cat
1.4006328190095005e-7	-0.6726352654468806	0	0.16	0.002705602416480652	Celf5
1.4006328190095005e-7	-0.6128290261302665	0	0.16	0.002705602416480652	Trim16
1.4006328190095005e-7	-0.7284832923403699	0	0.16	0.002705602416480652	Dact1
1.4006328190095005e-7	-0.8729137413399823	0	0.16	0.002705602416480652	Tgfbi
1.4006328190095005e-7	-0.8760957686873407	0	0.16	0.002705602416480652	Bmp4
1.4094078993256402e-7	1.8503076027348349	0.601	0.24	0.0027225532391273394	Ankrd37
1.431206266103105e-7	1.9028064658744595	0.423	0.02	0.002764661144231368	Kcnip2
1.4386511720569893e-7	-0.662912873780154	0.946	1	0.002779042469062486	Kcnq1ot1
1.4520135527563974e-7	-1.1533570286819264	0.804	0.98	0.0028048545798595326	Ckb
1.460793749138545e-7	1.5338353535405524	0.756	0.46	0.0028218152852109274	Samd12
1.5118623437454443e-7	1.185158126348389	0.833	0.52	0.002920464489413075	Mcf2l
1.5734463127919352e-7	2.2847073623896597	0.446	0.04	0.003039426242420181	Cst6
1.660637543952491e-7	1.0411943916670918	0.952	0.9	0.003207853543653027	Pmvk
1.68798434063904e-7	-1.8307899150458828	0.071	0.36	0.003260679350812433	Unc5c
1.7363284460241372e-7	-0.8835396400223274	0.696	0.92	0.003354065659184826	Atad3a
1.7394589786941694e-7	1.767298174406182	0.476	0.06	0.003360112909143527	Ripk4
1.7675527414577181e-7	1.0020629124421596	0.917	0.82	0.003414381630673874	Gbf1
1.7712132610353202e-7	0.91813591869414235	0.964	0.68	0.003421452656341928	Tcerg1l
1.905712409973369e-7	-1.5200913353546972	0.107	0.42	0.003681264662345557	Pakap
1.924259472860379e-7	2.0204404473902544	0.417	0.02	0.003717092023724394	Rgl3
1.932356157587626e-7	1.0355205498051183	0.917	0.76	0.003732732389612017	Krcc1
1.9534990417370963e-7	-0.9831107923594528	0.637	0.94	0.003773574098923549	Nfia
2.0085362410367683e-7	-1.2353874441467638	0.125	0.46	0.003879889456810725	Ttbk1
2.0085362410367683e-7	-0.99421908921731	0.125	0.46	0.003879889456810725	Arnt2
2.0511294058617024e-7	1.531277649994874	0.696	0.42	0.00396216667330305	Nrtn
2.168514154036471e-7	0.7213179341238951	0.958	0.84	0.004188918791352251	Tagln2
